
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02231     0.01294     0.03714    -0.00137    -0.66014    -0.44085 ;

   sigma     mu(1)
  -0.030    -0.698
  -0.029    -0.645
  -0.028    -0.592
  -0.027    -0.539
  -0.026    -0.486
  -0.025    -0.435
  -0.024    -0.385
  -0.023    -0.337
  -0.022    -0.291
  -0.021    -0.248
  -0.020    -0.209
  -0.019    -0.173
  -0.018    -0.141
  -0.017    -0.114
  -0.016    -0.089
  -0.015    -0.069
  -0.014    -0.052
  -0.013    -0.038
  -0.012    -0.027
  -0.011    -0.019
  -0.010    -0.013
  -0.009    -0.010
  -0.008    -0.008
  -0.007    -0.011
  -0.006    -0.015
  -0.005    -0.018
  -0.004    -0.021
  -0.003    -0.023
  -0.002    -0.025
  -0.001    -0.026
   0.000    -0.026
   0.001    -0.026
   0.002    -0.025
   0.003    -0.024
   0.004    -0.022
   0.005    -0.019
   0.006    -0.016
   0.007    -0.012
   0.008    -0.007
   0.009    -0.001
   0.010     0.000
   0.011    -0.001
   0.012    -0.008
   0.013    -0.021
   0.014    -0.045
   0.015    -0.080
   0.016    -0.126
   0.017    -0.179
   0.018    -0.238
   0.019    -0.300
   0.020    -0.364
   0.021    -0.429
   0.022    -0.494
   0.023    -0.559
   0.024    -0.625
   0.025    -0.690
   0.026    -0.754
   0.027    -0.817
   0.028    -0.880
   0.029    -0.942
   0.030    -1.003
