
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03368     0.04792     0.02803    -0.02610     0.11513    -0.76164 ;

   sigma     mu(1)
  -0.030    -0.765
  -0.029    -0.733
  -0.028    -0.700
  -0.027    -0.666
  -0.026    -0.631
  -0.025    -0.594
  -0.024    -0.557
  -0.023    -0.518
  -0.022    -0.479
  -0.021    -0.439
  -0.020    -0.398
  -0.019    -0.356
  -0.018    -0.314
  -0.017    -0.271
  -0.016    -0.229
  -0.015    -0.187
  -0.014    -0.147
  -0.013    -0.109
  -0.012    -0.076
  -0.011    -0.049
  -0.010    -0.030
  -0.009    -0.018
  -0.008    -0.012
  -0.007    -0.016
  -0.006    -0.021
  -0.005    -0.026
  -0.004    -0.031
  -0.003    -0.035
  -0.002    -0.038
  -0.001    -0.040
   0.000    -0.042
   0.001    -0.042
   0.002    -0.041
   0.003    -0.039
   0.004    -0.036
   0.005    -0.032
   0.006    -0.027
   0.007    -0.020
   0.008    -0.012
   0.009    -0.003
   0.010     0.008
   0.011     0.019
   0.012     0.030
   0.013     0.043
   0.014     0.056
   0.015     0.068
   0.016     0.079
   0.017     0.087
   0.018     0.090
   0.019     0.089
   0.020     0.080
   0.021     0.065
   0.022     0.044
   0.023     0.019
   0.024    -0.008
   0.025    -0.037
   0.026    -0.066
   0.027    -0.096
   0.028    -0.125
   0.029    -0.153
   0.030    -0.181
