
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.09977    -0.14919     0.05360    -0.00218    -0.12302     0.00632 ;

   sigma     mu(1)
  -0.030     0.895
  -0.029     0.843
  -0.028     0.793
  -0.027     0.744
  -0.026     0.696
  -0.025     0.649
  -0.024     0.604
  -0.023     0.560
  -0.022     0.517
  -0.021     0.476
  -0.020     0.436
  -0.019     0.397
  -0.018     0.360
  -0.017     0.323
  -0.016     0.289
  -0.015     0.255
  -0.014     0.222
  -0.013     0.191
  -0.012     0.161
  -0.011     0.133
  -0.010     0.105
  -0.009     0.079
  -0.008     0.054
  -0.007     0.030
  -0.006     0.008
  -0.005    -0.013
  -0.004    -0.033
  -0.003    -0.052
  -0.002    -0.070
  -0.001    -0.086
   0.000    -0.101
   0.001    -0.115
   0.002    -0.128
   0.003    -0.140
   0.004    -0.150
   0.005    -0.159
   0.006    -0.167
   0.007    -0.174
   0.008    -0.180
   0.009    -0.184
   0.010    -0.195
   0.011    -0.206
   0.012    -0.217
   0.013    -0.227
   0.014    -0.238
   0.015    -0.249
   0.016    -0.260
   0.017    -0.270
   0.018    -0.281
   0.019    -0.290
   0.020    -0.299
   0.021    -0.307
   0.022    -0.315
   0.023    -0.321
   0.024    -0.327
   0.025    -0.331
   0.026    -0.334
   0.027    -0.337
   0.028    -0.338
   0.029    -0.337
   0.030    -0.336
