
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.00885    -0.00868    -0.00336    -0.00703     0.02513    -0.98571 ;

   sigma     mu(1)
  -0.030    -1.635
  -0.029    -1.548
  -0.028    -1.459
  -0.027    -1.369
  -0.026    -1.279
  -0.025    -1.188
  -0.024    -1.096
  -0.023    -1.004
  -0.022    -0.912
  -0.021    -0.820
  -0.020    -0.728
  -0.019    -0.638
  -0.018    -0.548
  -0.017    -0.460
  -0.016    -0.374
  -0.015    -0.290
  -0.014    -0.210
  -0.013    -0.136
  -0.012    -0.070
  -0.011    -0.019
  -0.010     0.016
  -0.009     0.034
  -0.008     0.039
  -0.007     0.032
  -0.006     0.024
  -0.005     0.016
  -0.004     0.008
  -0.003     0.000
  -0.002    -0.007
  -0.001    -0.013
   0.000    -0.019
   0.001    -0.024
   0.002    -0.028
   0.003    -0.031
   0.004    -0.033
   0.005    -0.035
   0.006    -0.035
   0.007    -0.035
   0.008    -0.033
   0.009    -0.031
   0.010    -0.030
   0.011    -0.029
   0.012    -0.029
   0.013    -0.028
   0.014    -0.029
   0.015    -0.031
   0.016    -0.035
   0.017    -0.041
   0.018    -0.048
   0.019    -0.058
   0.020    -0.069
   0.021    -0.082
   0.022    -0.097
   0.023    -0.112
   0.024    -0.128
   0.025    -0.144
   0.026    -0.159
   0.027    -0.175
   0.028    -0.190
   0.029    -0.205
   0.030    -0.219
