
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.01891     0.02580     0.01586    -0.01972    -0.10744    -0.69076 ;

   sigma     mu(1)
  -0.030    -0.785
  -0.029    -0.750
  -0.028    -0.714
  -0.027    -0.676
  -0.026    -0.638
  -0.025    -0.598
  -0.024    -0.558
  -0.023    -0.516
  -0.022    -0.474
  -0.021    -0.431
  -0.020    -0.387
  -0.019    -0.342
  -0.018    -0.298
  -0.017    -0.253
  -0.016    -0.209
  -0.015    -0.167
  -0.014    -0.126
  -0.013    -0.089
  -0.012    -0.056
  -0.011    -0.030
  -0.010    -0.011
  -0.009     0.001
  -0.008     0.008
  -0.007     0.005
  -0.006     0.000
  -0.005    -0.006
  -0.004    -0.011
  -0.003    -0.015
  -0.002    -0.019
  -0.001    -0.022
   0.000    -0.025
   0.001    -0.027
   0.002    -0.029
   0.003    -0.029
   0.004    -0.029
   0.005    -0.028
   0.006    -0.025
   0.007    -0.022
   0.008    -0.017
   0.009    -0.012
   0.010    -0.008
   0.011    -0.005
   0.012    -0.004
   0.013    -0.004
   0.014    -0.008
   0.015    -0.016
   0.016    -0.030
   0.017    -0.049
   0.018    -0.074
   0.019    -0.104
   0.020    -0.137
   0.021    -0.173
   0.022    -0.211
   0.023    -0.249
   0.024    -0.288
   0.025    -0.326
   0.026    -0.365
   0.027    -0.402
   0.028    -0.439
   0.029    -0.474
   0.030    -0.509
