
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.04096     0.03532     0.07606    -0.02011    -0.52360    -0.61849 ;

   sigma     mu(1)
  -0.030    -0.263
  -0.029    -0.252
  -0.028    -0.241
  -0.027    -0.228
  -0.026    -0.214
  -0.025    -0.199
  -0.024    -0.184
  -0.023    -0.167
  -0.022    -0.149
  -0.021    -0.131
  -0.020    -0.112
  -0.019    -0.093
  -0.018    -0.074
  -0.017    -0.056
  -0.016    -0.039
  -0.015    -0.024
  -0.014    -0.012
  -0.013    -0.003
  -0.012     0.002
  -0.011     0.003
  -0.010     0.002
  -0.009    -0.001
  -0.008    -0.006
  -0.007    -0.014
  -0.006    -0.021
  -0.005    -0.028
  -0.004    -0.033
  -0.003    -0.037
  -0.002    -0.040
  -0.001    -0.042
   0.000    -0.043
   0.001    -0.042
   0.002    -0.040
   0.003    -0.037
   0.004    -0.033
   0.005    -0.027
   0.006    -0.020
   0.007    -0.012
   0.008    -0.002
   0.009     0.009
   0.010     0.019
   0.011     0.028
   0.012     0.035
   0.013     0.037
   0.014     0.030
   0.015     0.011
   0.016    -0.022
   0.017    -0.065
   0.018    -0.116
   0.019    -0.171
   0.020    -0.228
   0.021    -0.286
   0.022    -0.345
   0.023    -0.403
   0.024    -0.460
   0.025    -0.517
   0.026    -0.573
   0.027    -0.628
   0.028    -0.682
   0.029    -0.735
   0.030    -0.786
