
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.07889    -0.11357     0.06099    -0.00051    -0.02781    -0.00312 ;

   sigma     mu(1)
  -0.030     0.818
  -0.029     0.769
  -0.028     0.723
  -0.027     0.677
  -0.026     0.633
  -0.025     0.590
  -0.024     0.548
  -0.023     0.508
  -0.022     0.468
  -0.021     0.431
  -0.020     0.394
  -0.019     0.359
  -0.018     0.325
  -0.017     0.292
  -0.016     0.260
  -0.015     0.230
  -0.014     0.201
  -0.013     0.173
  -0.012     0.146
  -0.011     0.120
  -0.010     0.096
  -0.009     0.073
  -0.008     0.051
  -0.007     0.031
  -0.006     0.011
  -0.005    -0.007
  -0.004    -0.024
  -0.003    -0.040
  -0.002    -0.054
  -0.001    -0.067
   0.000    -0.079
   0.001    -0.090
   0.002    -0.100
   0.003    -0.108
   0.004    -0.115
   0.005    -0.120
   0.006    -0.125
   0.007    -0.128
   0.008    -0.129
   0.009    -0.130
   0.010    -0.131
   0.011    -0.132
   0.012    -0.131
   0.013    -0.129
   0.014    -0.126
   0.015    -0.123
   0.016    -0.118
   0.017    -0.112
   0.018    -0.105
   0.019    -0.097
   0.020    -0.088
   0.021    -0.078
   0.022    -0.067
   0.023    -0.054
   0.024    -0.041
   0.025    -0.026
   0.026    -0.010
   0.027     0.006
   0.028     0.024
   0.029     0.044
   0.030     0.064
