
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03109     0.00714     0.01996    -0.00010     0.00058    -0.59376 ;

   sigma     mu(1)
  -0.030    -0.991
  -0.029    -0.936
  -0.028    -0.881
  -0.027    -0.825
  -0.026    -0.769
  -0.025    -0.712
  -0.024    -0.655
  -0.023    -0.598
  -0.022    -0.541
  -0.021    -0.485
  -0.020    -0.429
  -0.019    -0.374
  -0.018    -0.321
  -0.017    -0.268
  -0.016    -0.219
  -0.015    -0.172
  -0.014    -0.129
  -0.013    -0.091
  -0.012    -0.060
  -0.011    -0.037
  -0.010    -0.021
  -0.009    -0.012
  -0.008    -0.008
  -0.007    -0.012
  -0.006    -0.017
  -0.005    -0.021
  -0.004    -0.025
  -0.003    -0.029
  -0.002    -0.032
  -0.001    -0.035
   0.000    -0.036
   0.001    -0.038
   0.002    -0.038
   0.003    -0.038
   0.004    -0.036
   0.005    -0.034
   0.006    -0.031
   0.007    -0.027
   0.008    -0.022
   0.009    -0.015
   0.010    -0.009
   0.011    -0.001
   0.012     0.007
   0.013     0.016
   0.014     0.025
   0.015     0.034
   0.016     0.044
   0.017     0.053
   0.018     0.062
   0.019     0.070
   0.020     0.076
   0.021     0.081
   0.022     0.084
   0.023     0.085
   0.024     0.085
   0.025     0.083
   0.026     0.080
   0.027     0.077
   0.028     0.073
   0.029     0.070
   0.030     0.067
