
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.04620     0.00082     0.06442     0.00130     0.00070    -0.00549 ;

   sigma     mu(1)
  -0.030     0.487
  -0.029     0.453
  -0.028     0.420
  -0.027     0.388
  -0.026     0.357
  -0.025     0.327
  -0.024     0.298
  -0.023     0.271
  -0.022     0.244
  -0.021     0.219
  -0.020     0.195
  -0.019     0.172
  -0.018     0.150
  -0.017     0.130
  -0.016     0.110
  -0.015     0.092
  -0.014     0.074
  -0.013     0.058
  -0.012     0.043
  -0.011     0.029
  -0.010     0.016
  -0.009     0.004
  -0.008    -0.006
  -0.007    -0.015
  -0.006    -0.024
  -0.005    -0.030
  -0.004    -0.036
  -0.003    -0.041
  -0.002    -0.044
  -0.001    -0.046
   0.000    -0.046
   0.001    -0.046
   0.002    -0.044
   0.003    -0.040
   0.004    -0.036
   0.005    -0.030
   0.006    -0.022
   0.007    -0.014
   0.008    -0.004
   0.009     0.008
   0.010     0.020
   0.011     0.034
   0.012     0.050
   0.013     0.067
   0.014     0.085
   0.015     0.105
   0.016     0.126
   0.017     0.148
   0.018     0.172
   0.019     0.197
   0.020     0.224
   0.021     0.252
   0.022     0.282
   0.023     0.313
   0.024     0.345
   0.025     0.379
   0.026     0.415
   0.027     0.451
   0.028     0.490
   0.029     0.529
   0.030     0.570
