
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.04247     0.03097     0.08090    -0.01796    -0.56698    -0.57719 ;

   sigma     mu(1)
  -0.030    -0.198
  -0.029    -0.189
  -0.028    -0.179
  -0.027    -0.169
  -0.026    -0.157
  -0.025    -0.144
  -0.024    -0.130
  -0.023    -0.115
  -0.022    -0.100
  -0.021    -0.084
  -0.020    -0.068
  -0.019    -0.052
  -0.018    -0.036
  -0.017    -0.022
  -0.016    -0.010
  -0.015     0.000
  -0.014     0.007
  -0.013     0.011
  -0.012     0.012
  -0.011     0.009
  -0.010     0.005
  -0.009     0.000
  -0.008    -0.007
  -0.007    -0.015
  -0.006    -0.022
  -0.005    -0.029
  -0.004    -0.034
  -0.003    -0.038
  -0.002    -0.041
  -0.001    -0.043
   0.000    -0.044
   0.001    -0.043
   0.002    -0.041
   0.003    -0.038
   0.004    -0.034
   0.005    -0.028
   0.006    -0.021
   0.007    -0.013
   0.008    -0.003
   0.009     0.008
   0.010     0.018
   0.011     0.028
   0.012     0.035
   0.013     0.037
   0.014     0.029
   0.015     0.009
   0.016    -0.024
   0.017    -0.069
   0.018    -0.121
   0.019    -0.177
   0.020    -0.235
   0.021    -0.294
   0.022    -0.352
   0.023    -0.411
   0.024    -0.469
   0.025    -0.526
   0.026    -0.582
   0.027    -0.637
   0.028    -0.691
   0.029    -0.744
   0.030    -0.796
