
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/DZLFLBLQUQXARW-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.000
  -1.400     0.000
  -1.300     0.001
  -1.200     0.591
  -1.100     3.238
  -1.000     7.835
  -0.900    11.684
  -0.800    13.098
  -0.700    14.711
  -0.600    21.093
  -0.500    32.865
  -0.400    41.285
  -0.300    41.578
  -0.200    37.360
  -0.100    30.554
   0.000    25.101
   0.100    23.536
   0.200    21.698
   0.300    13.092
   0.400     3.312
   0.500     0.114
   0.600     0.000
   0.700     0.000
   0.800     0.000
   0.900     0.000
   1.000     0.000
   1.100     0.000
   1.200     0.000
   1.300     0.000
   1.400     0.000
   1.500     0.000
   1.600     0.000
   1.700     0.000
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
