
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/FFEARJCKVFRZRR-BYPYZUCNSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.018
  -2.000     0.975
  -1.900     3.260
  -1.800     4.720
  -1.700     4.286
  -1.600     3.119
  -1.500     2.249
  -1.400     2.286
  -1.300     2.671
  -1.200     2.470
  -1.100     2.228
  -1.000     2.880
  -0.900     3.708
  -0.800     4.809
  -0.700     7.373
  -0.600     9.800
  -0.500    10.026
  -0.400     8.717
  -0.300     7.749
  -0.200     7.683
  -0.100     8.055
   0.000     7.538
   0.100     5.573
   0.200     4.388
   0.300     4.456
   0.400     4.113
   0.500     3.998
   0.600     4.569
   0.700     4.071
   0.800     2.991
   0.900     2.785
   1.000     3.303
   1.100     3.862
   1.200     3.754
   1.300     3.437
   1.400     3.303
   1.500     3.204
   1.600     3.880
   1.700     4.647
   1.800     4.263
   1.900     3.437
   2.000     2.368
   2.100     1.074
   2.200     0.238
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
