
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/HWCKGOZZJDHMNC-UHFFFAOYSA-M.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.000
  -1.400     0.000
  -1.300     0.000
  -1.200     0.019
  -1.100     0.813
  -1.000     3.873
  -0.900     8.104
  -0.800    11.870
  -0.700    16.555
  -0.600    21.259
  -0.500    22.149
  -0.400    19.146
  -0.300    15.020
  -0.200    12.412
  -0.100    13.337
   0.000    13.332
   0.100     8.270
   0.200     2.888
   0.300     0.915
   0.400     0.677
   0.500     0.428
   0.600     0.320
   0.700     0.573
   0.800     0.584
   0.900     0.319
   1.000     0.945
   1.100     2.196
   1.200     2.514
   1.300     2.030
   1.400     1.516
   1.500     7.169
   1.600    15.160
   1.700    11.105
   1.800     2.466
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
