
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/ICFJFFQQTFMIBG-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.077
  -1.700     0.864
  -1.600     2.285
  -1.500     3.343
  -1.400     3.674
  -1.300     4.021
  -1.200     4.909
  -1.100     5.138
  -1.000     4.348
  -0.900     3.579
  -0.800     4.066
  -0.700     6.479
  -0.600     9.808
  -0.500    13.097
  -0.400    15.579
  -0.300    15.605
  -0.200    13.511
  -0.100    11.277
   0.000     9.700
   0.100     9.460
   0.200     9.946
   0.300    10.048
   0.400    10.335
   0.500    11.570
   0.600    12.711
   0.700    10.937
   0.800     7.068
   0.900     4.427
   1.000     3.375
   1.100     3.531
   1.200     4.406
   1.300     4.294
   1.400     2.922
   1.500     1.850
   1.600     1.438
   1.700     1.221
   1.800     1.039
   1.900     0.739
   2.000     0.428
   2.100     0.176
   2.200     0.030
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
