
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/IPCSVZSSVZVIGE-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.203
  -2.000     0.669
  -1.900     0.753
  -1.800     0.672
  -1.700     1.157
  -1.600     1.362
  -1.500     0.781
  -1.400     0.211
  -1.300     0.146
  -1.200     0.404
  -1.100     0.776
  -1.000     0.907
  -0.900     0.617
  -0.800     0.684
  -0.700     1.687
  -0.600     3.434
  -0.500     5.994
  -0.400    14.051
  -0.300    35.317
  -0.200    56.639
  -0.100    59.024
   0.000    50.486
   0.100    39.092
   0.200    28.379
   0.300    21.958
   0.400    13.339
   0.500     4.860
   0.600     2.191
   0.700     2.254
   0.800     2.482
   0.900     2.285
   1.000     2.168
   1.100     2.970
   1.200     3.878
   1.300     3.812
   1.400     2.848
   1.500     1.610
   1.600     0.531
   1.700     0.042
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
