
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/JFCQEDHGNNZCLN-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.029
  -2.100     0.705
  -2.000     1.579
  -1.900     1.178
  -1.800     1.353
  -1.700     2.782
  -1.600     2.598
  -1.500     1.144
  -1.400     0.303
  -1.300     0.414
  -1.200     1.161
  -1.100     1.704
  -1.000     1.523
  -0.900     2.007
  -0.800     5.089
  -0.700     8.841
  -0.600    10.766
  -0.500    11.077
  -0.400    10.729
  -0.300    10.407
  -0.200     9.138
  -0.100     7.015
   0.000     4.969
   0.100     3.378
   0.200     3.069
   0.300     3.559
   0.400     4.082
   0.500     4.210
   0.600     3.811
   0.700     3.826
   0.800     4.204
   0.900     4.315
   1.000     4.868
   1.100     6.398
   1.200     7.918
   1.300     7.288
   1.400     4.649
   1.500     2.207
   1.600     0.644
   1.700     0.024
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
