
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/JGOAIQNSOGZNBX-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.000
  -1.400     0.000
  -1.300     0.000
  -1.200     0.000
  -1.100     0.000
  -1.000     0.221
  -0.900     2.320
  -0.800     9.090
  -0.700    16.757
  -0.600    20.016
  -0.500    21.310
  -0.400    23.556
  -0.300    28.280
  -0.200    32.356
  -0.100    29.875
   0.000    24.187
   0.100    21.878
   0.200    21.937
   0.300    19.945
   0.400    18.259
   0.500    19.514
   0.600    15.938
   0.700     7.341
   0.800     3.026
   0.900     2.676
   1.000     2.499
   1.100     2.775
   1.200     3.491
   1.300     3.260
   1.400     2.255
   1.500     1.453
   1.600     0.651
   1.700     0.181
   1.800     0.307
   1.900     0.364
   2.000     0.140
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
