
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/JOOXCMJARBKPKM-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.048
  -2.100     0.475
  -2.000     0.845
  -1.900     0.669
  -1.800     0.946
  -1.700     1.388
  -1.600     0.985
  -1.500     0.373
  -1.400     0.178
  -1.300     0.337
  -1.200     0.708
  -1.100     0.913
  -1.000     1.124
  -0.900     3.951
  -0.800     8.819
  -0.700    11.172
  -0.600    10.700
  -0.500     9.769
  -0.400     9.217
  -0.300     8.390
  -0.200     7.531
  -0.100     6.788
   0.000     5.679
   0.100     4.433
   0.200     3.086
   0.300     2.504
   0.400     2.667
   0.500     2.748
   0.600     2.513
   0.700     2.352
   0.800     2.794
   0.900     3.396
   1.000     4.035
   1.100     5.591
   1.200     7.379
   1.300     6.516
   1.400     3.605
   1.500     2.024
   1.600     1.519
   1.700     0.681
   1.800     0.094
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
