
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/KRKNYBCHXYNGOX-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.052
  -2.200     1.059
  -2.100     2.348
  -2.000     2.327
  -1.900     2.795
  -1.800     4.033
  -1.700     3.386
  -1.600     1.361
  -1.500     0.517
  -1.400     1.311
  -1.300     2.274
  -1.200     2.847
  -1.100     4.392
  -1.000     6.505
  -0.900     6.992
  -0.800     6.080
  -0.700     6.054
  -0.600     8.049
  -0.500     9.582
  -0.400     8.118
  -0.300     5.493
  -0.200     4.100
  -0.100     3.755
   0.000     4.062
   0.100     4.624
   0.200     5.132
   0.300     6.295
   0.400     7.342
   0.500     6.431
   0.600     4.584
   0.700     4.515
   0.800     6.122
   0.900     6.887
   1.000     6.583
   1.100     7.371
   1.200     8.142
   1.300     6.620
   1.400     3.939
   1.500     2.111
   1.600     1.631
   1.700     1.704
   1.800     1.627
   1.900     1.267
   2.000     0.995
   2.100     0.817
   2.200     0.413
   2.300     0.087
   2.400     0.008
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
