
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/MGJKQDOBUOMPEZ-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.250
  -1.700     1.067
  -1.600     2.063
  -1.500     2.272
  -1.400     1.613
  -1.300     1.420
  -1.200     1.977
  -1.100     2.010
  -1.000     1.365
  -0.900     1.172
  -0.800     1.771
  -0.700     3.009
  -0.600     5.635
  -0.500     8.753
  -0.400     9.617
  -0.300     8.885
  -0.200     9.692
  -0.100    10.875
   0.000     9.805
   0.100     6.923
   0.200     4.550
   0.300     3.956
   0.400     3.251
   0.500     2.196
   0.600     1.825
   0.700     2.006
   0.800     2.332
   0.900     1.845
   1.000     1.090
   1.100     1.394
   1.200     1.920
   1.300     1.532
   1.400     1.171
   1.500     1.479
   1.600     2.274
   1.700     3.343
   1.800     3.253
   1.900     1.631
   2.000     0.316
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
