
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/NRKYWOKHZRQRJR-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.084
  -2.000     0.477
  -1.900     1.093
  -1.800     1.649
  -1.700     1.950
  -1.600     2.360
  -1.500     2.784
  -1.400     2.050
  -1.300     1.002
  -1.200     0.966
  -1.100     1.282
  -1.000     1.223
  -0.900     0.944
  -0.800     1.001
  -0.700     1.156
  -0.600     1.313
  -0.500     1.907
  -0.400     2.751
  -0.300     3.489
  -0.200     4.087
  -0.100     5.046
   0.000     7.430
   0.100    11.552
   0.200    15.742
   0.300    14.181
   0.400     6.531
   0.500     1.607
   0.600     0.845
   0.700     1.298
   0.800     1.887
   0.900     1.383
   1.000     1.010
   1.100     2.221
   1.200     3.690
   1.300     3.451
   1.400     2.190
   1.500     0.883
   1.600     0.110
   1.700     0.000
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
