
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/ODKSFYDXXFIFQN-BYPYZUCNSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.002
  -2.100     0.159
  -2.000     1.880
  -1.900     4.815
  -1.800     5.731
  -1.700     5.122
  -1.600     5.086
  -1.500     5.349
  -1.400     4.944
  -1.300     3.498
  -1.200     2.753
  -1.100     3.302
  -1.000     4.074
  -0.900     4.778
  -0.800     5.696
  -0.700     7.084
  -0.600     8.387
  -0.500    10.120
  -0.400    12.416
  -0.300    13.315
  -0.200    12.218
  -0.100     9.664
   0.000     7.162
   0.100     5.656
   0.200     4.367
   0.300     4.066
   0.400     4.428
   0.500     3.739
   0.600     2.445
   0.700     1.445
   0.800     0.828
   0.900     0.663
   1.000     1.134
   1.100     1.832
   1.200     2.010
   1.300     1.841
   1.400     1.950
   1.500     2.110
   1.600     2.081
   1.700     2.890
   1.800     4.729
   1.900     6.672
   2.000     7.288
   2.100     5.530
   2.200     3.317
   2.300     2.364
   2.400     2.457
   2.500     2.317
   2.600     1.097
   2.700     0.148
   2.800     0.000
   2.900     0.000
   3.000     0.000
