
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/OEYIOHPDSNJKLS-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.040
  -1.900     0.344
  -1.800     1.043
  -1.700     1.295
  -1.600     0.815
  -1.500     0.975
  -1.400     1.992
  -1.300     3.369
  -1.200     6.754
  -1.100    12.704
  -1.000    18.078
  -0.900    18.990
  -0.800    15.818
  -0.700    13.706
  -0.600    14.779
  -0.500    14.000
  -0.400     8.348
  -0.300     3.035
  -0.200     1.204
  -0.100     0.851
   0.000     0.775
   0.100     0.842
   0.200     0.953
   0.300     0.883
   0.400     0.667
   0.500     0.400
   0.600     0.275
   0.700     0.857
   0.800     1.629
   0.900     1.392
   1.000     0.609
   1.100     0.396
   1.200     0.732
   1.300     1.179
   1.400     1.493
   1.500     1.490
   1.600     1.112
   1.700     0.440
   1.800     0.029
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
