
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/QTBSBXVTEAMEQO-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.307
  -2.000     0.772
  -1.900     0.687
  -1.800     0.784
  -1.700     1.388
  -1.600     1.245
  -1.500     0.513
  -1.400     0.120
  -1.300     0.231
  -1.200     0.630
  -1.100     0.865
  -1.000     0.819
  -0.900     1.680
  -0.800     3.411
  -0.700     4.667
  -0.600     4.996
  -0.500     4.655
  -0.400     5.082
  -0.300     6.471
  -0.200     7.459
  -0.100     6.478
   0.000     3.638
   0.100     1.573
   0.200     1.439
   0.300     1.727
   0.400     1.816
   0.500     2.367
   0.600     2.652
   0.700     1.916
   0.800     1.504
   0.900     2.030
   1.000     2.384
   1.100     2.930
   1.200     3.992
   1.300     4.065
   1.400     2.866
   1.500     1.567
   1.600     0.592
   1.700     0.084
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
