
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/QWBBPBRQALCEIZ-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.014
  -2.000     0.406
  -1.900     0.912
  -1.800     0.786
  -1.700     0.756
  -1.600     1.124
  -1.500     1.082
  -1.400     0.803
  -1.300     0.682
  -1.200     0.651
  -1.100     0.667
  -1.000     0.762
  -0.900     0.998
  -0.800     1.684
  -0.700     3.317
  -0.600     7.255
  -0.500    11.126
  -0.400    11.641
  -0.300    10.875
  -0.200     9.476
  -0.100     8.443
   0.000    10.205
   0.100    12.559
   0.200    11.709
   0.300     9.441
   0.400     8.725
   0.500     8.731
   0.600     9.005
   0.700     7.832
   0.800     4.539
   0.900     2.363
   1.000     1.911
   1.100     1.379
   1.200     1.084
   1.300     1.048
   1.400     0.617
   1.500     0.159
   1.600     0.002
   1.700     0.000
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
