
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/RAXXELZNTBOGNW-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.374
  -1.800     1.353
  -1.700     1.633
  -1.600     1.151
  -1.500     1.275
  -1.400     1.210
  -1.300     0.686
  -1.200     0.910
  -1.100     1.999
  -1.000     3.419
  -0.900     4.595
  -0.800     4.643
  -0.700     4.070
  -0.600     3.650
  -0.500     3.057
  -0.400     2.790
  -0.300     3.073
  -0.200     3.478
  -0.100     3.355
   0.000     3.323
   0.100     4.343
   0.200     5.441
   0.300     5.748
   0.400     5.295
   0.500     4.858
   0.600     5.107
   0.700     4.495
   0.800     2.146
   0.900     0.965
   1.000     1.381
   1.100     1.127
   1.200     0.800
   1.300     1.152
   1.400     1.378
   1.500     1.085
   1.600     0.823
   1.700     0.855
   1.800     0.902
   1.900     0.816
   2.000     0.820
   2.100     0.911
   2.200     0.609
   2.300     0.162
   2.400     0.008
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
