
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/TZVAOIBSPKDYDC-UHFFFAOYSA-M.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.087
  -1.400     0.500
  -1.300     1.361
  -1.200     3.659
  -1.100     7.999
  -1.000    12.072
  -0.900    14.210
  -0.800    15.758
  -0.700    16.220
  -0.600    14.569
  -0.500    13.374
  -0.400    14.206
  -0.300    13.939
  -0.200    10.708
  -0.100     7.614
   0.000     6.922
   0.100     7.940
   0.200     8.818
   0.300     8.602
   0.400     8.432
   0.500     8.737
   0.600     7.162
   0.700     3.952
   0.800     1.900
   0.900     1.148
   1.000     0.931
   1.100     2.003
   1.200     3.598
   1.300     2.777
   1.400     0.843
   1.500     0.323
   1.600     3.792
   1.700    11.292
   1.800    12.306
   1.900     4.965
   2.000     0.368
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
