
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/VCXBSHBJVUIQHJ-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.003
  -1.500     0.522
  -1.400     1.367
  -1.300     2.810
  -1.200     6.711
  -1.100    12.748
  -1.000    18.086
  -0.900    19.774
  -0.800    19.535
  -0.700    20.593
  -0.600    21.754
  -0.500    19.466
  -0.400    12.520
  -0.300     6.955
  -0.200     5.768
  -0.100     5.323
   0.000     5.217
   0.100     5.801
   0.200     6.615
   0.300     8.377
   0.400    10.867
   0.500    10.782
   0.600     6.543
   0.700     2.624
   0.800     1.269
   0.900     0.749
   1.000     0.446
   1.100     0.560
   1.200     0.952
   1.300     0.976
   1.400     0.501
   1.500     0.095
   1.600     0.000
   1.700     0.000
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
