
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/VMXUWOKSQNHOCA-UKTHLTGXSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.036
  -1.800     0.359
  -1.700     0.976
  -1.600     1.177
  -1.500     0.809
  -1.400     0.477
  -1.300     0.388
  -1.200     0.833
  -1.100     2.060
  -1.000     3.890
  -0.900     8.258
  -0.800    16.352
  -0.700    22.191
  -0.600    22.791
  -0.500    22.407
  -0.400    22.925
  -0.300    23.934
  -0.200    23.553
  -0.100    23.165
   0.000    23.116
   0.100    19.620
   0.200    15.342
   0.300    12.416
   0.400    10.360
   0.500    10.248
   0.600     9.859
   0.700     7.817
   0.800     6.284
   0.900     5.884
   1.000     5.617
   1.100     5.705
   1.200     6.252
   1.300     6.419
   1.400     5.487
   1.500     4.225
   1.600     3.446
   1.700     2.770
   1.800     1.847
   1.900     0.797
   2.000     0.251
   2.100     0.209
   2.200     0.194
   2.300     0.077
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
