
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/WBYWAXJHAXSJNI-VOTSOKGWSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.259
  -2.000     0.715
  -1.900     0.654
  -1.800     0.597
  -1.700     1.298
  -1.600     1.475
  -1.500     0.655
  -1.400     0.099
  -1.300     0.192
  -1.200     0.520
  -1.100     1.039
  -1.000     1.995
  -0.900     4.578
  -0.800     8.271
  -0.700     9.973
  -0.600     9.117
  -0.500     7.685
  -0.400     6.949
  -0.300     7.724
  -0.200     9.699
  -0.100    10.364
   0.000    10.376
   0.100    11.990
   0.200    14.259
   0.300    15.976
   0.400    14.794
   0.500     9.536
   0.600     4.369
   0.700     1.965
   0.800     1.223
   0.900     1.900
   1.000     3.038
   1.100     3.052
   1.200     3.063
   1.300     3.866
   1.400     3.425
   1.500     1.619
   1.600     0.345
   1.700     0.005
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
