
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/WLJVNTCWHIRURA-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.501
  -2.000     1.434
  -1.900     1.363
  -1.800     1.327
  -1.700     2.505
  -1.600     2.667
  -1.500     1.411
  -1.400     0.422
  -1.300     0.375
  -1.200     0.967
  -1.100     1.564
  -1.000     1.624
  -0.900     1.383
  -0.800     2.991
  -0.700     6.243
  -0.600     8.696
  -0.500    12.335
  -0.400    18.074
  -0.300    21.248
  -0.200    19.163
  -0.100    13.578
   0.000     8.112
   0.100     5.943
   0.200     5.643
   0.300     4.569
   0.400     4.090
   0.500     4.506
   0.600     4.327
   0.700     4.064
   0.800     4.086
   0.900     3.965
   1.000     4.680
   1.100     6.521
   1.200     7.904
   1.300     7.623
   1.400     5.425
   1.500     2.598
   1.600     0.738
   1.700     0.075
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
