
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/ZQBAKBUEJOMQEX-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.000
  -1.400     0.000
  -1.300     0.000
  -1.200     0.000
  -1.100     0.071
  -1.000     0.993
  -0.900     5.164
  -0.800    11.507
  -0.700    15.039
  -0.600    14.153
  -0.500    12.327
  -0.400    12.462
  -0.300    12.852
  -0.200    12.344
  -0.100    11.793
   0.000    12.692
   0.100    16.100
   0.200    19.205
   0.300    20.966
   0.400    21.302
   0.500    15.340
   0.600     6.992
   0.700     3.659
   0.800     2.776
   0.900     2.139
   1.000     2.226
   1.100     2.865
   1.200     3.143
   1.300     2.222
   1.400     0.976
   1.500     0.237
   1.600     0.000
   1.700     0.000
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
