
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/ZQPPMHVWECSIRJ-KTKRTIGZSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.205
  -2.000     0.671
  -1.900     0.727
  -1.800     0.583
  -1.700     1.145
  -1.600     1.462
  -1.500     0.800
  -1.400     0.186
  -1.300     0.131
  -1.200     0.420
  -1.100     0.813
  -1.000     0.864
  -0.900     0.637
  -0.800     1.295
  -0.700     2.849
  -0.600     4.968
  -0.500     9.574
  -0.400    21.314
  -0.300    43.214
  -0.200    59.075
  -0.100    55.361
   0.000    45.054
   0.100    35.541
   0.200    28.928
   0.300    24.342
   0.400    14.903
   0.500     6.781
   0.600     4.544
   0.700     4.486
   0.800     4.532
   0.900     3.881
   1.000     3.179
   1.100     3.251
   1.200     3.874
   1.300     4.035
   1.400     2.961
   1.500     1.405
   1.600     0.404
   1.700     0.040
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
