Component#1,Component#2,Smiles#1,Smiles#2,X#1,T_EP,PD,Type,groups
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,525.6,Yes,IL mixture,0.0
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.2,478.8,Yes,IL mixture,0.0
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.3,425.5,Yes,IL mixture,0.0
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,377.0,Yes,IL mixture,0.0
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.5,337.1,Yes,IL mixture,0.0
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.6,303.4,Yes,IL mixture,0.0
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.7,321.5,Yes,IL mixture,0.0
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.8,333.4,Yes,IL mixture,0.0
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.9,343.5,Yes,IL mixture,0.0
[C2OHmim]Cl,ChCl,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,517.4,Yes,IL mixture,1.0
[C2OHmim]Cl,ChCl,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.2,473.6,Yes,IL mixture,1.0
[C2OHmim]Cl,ChCl,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.3,403.2,Yes,IL mixture,1.0
[C2OHmim]Cl,ChCl,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,351.7,Yes,IL mixture,1.0
[C2OHmim]Cl,ChCl,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.5,323.5,Yes,IL mixture,1.0
[C2OHmim]Cl,ChCl,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.6,333.5,Yes,IL mixture,1.0
[C2OHmim]Cl,ChCl,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.7,340.5,Yes,IL mixture,1.0
[C2OHmim]Cl,ChCl,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.8,345.5,Yes,IL mixture,1.0
[C2OHmim]Cl,ChCl,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.9,352.6,Yes,IL mixture,1.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,546.4,Yes,IL mixture,2.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.15,528.9,Yes,IL mixture,2.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.2,493.5,Yes,IL mixture,2.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.3,456.6,Yes,IL mixture,2.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.35,419.9,Yes,IL mixture,2.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,419.6,Yes,IL mixture,2.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.45,430.0,Yes,IL mixture,2.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.5,429.4,Yes,IL mixture,2.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.55,437.3,Yes,IL mixture,2.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.7,445.5,Yes,IL mixture,2.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.8,458.6,Yes,IL mixture,2.0
[C4Mpyr]Cl,ChCl,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.9,463.3,Yes,IL mixture,2.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,543.6,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.15,523.7,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.2,503.1,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.25,483.6,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.3,463.6,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.35,443.1,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,418.9,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.45,403.4,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.5,386.6,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.55,373.9,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.6,363.32,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.65,368.52,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.7,375.15,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.75,384.48,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.8,387.58,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.85,393.78,Yes,IL mixture,3.0
[C4Py]Cl,ChCl,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.9,397.98,Yes,IL mixture,3.0
[Ch][OAc],ChCl,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.1,535.5,Yes,IL mixture,4.0
[Ch][OAc],ChCl,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.15,498.7,Yes,IL mixture,4.0
[Ch][OAc],ChCl,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.2,471.4,Yes,IL mixture,4.0
[Ch][OAc],ChCl,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.25,459.4,Yes,IL mixture,4.0
[Ch][OAc],ChCl,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.35,415.5,Yes,IL mixture,4.0
[Ch][OAc],ChCl,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.4,382.9,Yes,IL mixture,4.0
[Ch][OAc],ChCl,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.5,340.8,Yes,IL mixture,4.0
[Ch][OAc],ChCl,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.6,313.3,Yes,IL mixture,4.0
[Ch][OAc],ChCl,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.7,323.6,Yes,IL mixture,4.0
[Ch][OAc],ChCl,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.8,338.9,Yes,IL mixture,4.0
[Ch][OAc],ChCl,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.9,353.5,Yes,IL mixture,4.0
[Ch][OAc],Urea,CC(=O)[O-].C[N+](C)(C)CCO,NC(N)=O,0.35,291.15,No,Type III,5.0
[MeCh]Cl,ChCl,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,553.1,Yes,IL mixture,6.0
[MeCh]Cl,ChCl,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.2,523.0,Yes,IL mixture,6.0
[MeCh]Cl,ChCl,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.3,491.2,Yes,IL mixture,6.0
[MeCh]Cl,ChCl,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,453.7,Yes,IL mixture,6.0
[MeCh]Cl,ChCl,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.5,411.7,Yes,IL mixture,6.0
[MeCh]Cl,ChCl,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.6,416.4,Yes,IL mixture,6.0
[MeCh]Cl,ChCl,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.7,417.7,Yes,IL mixture,6.0
[MeCh]Cl,ChCl,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.85,433.3,Yes,IL mixture,6.0
[MeCh]Cl,ChCl,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.9,433.1,Yes,IL mixture,6.0
[N1111]Cl,[NH4]Cl,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.1,597.88,Yes,IL mixture,7.0
[N1111]Cl,[NH4]Cl,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.2,573.78,Yes,IL mixture,7.0
[N1111]Cl,[NH4]Cl,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.3,527.35,Yes,IL mixture,7.0
[N1111]Cl,[NH4]Cl,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.4,497.82,Yes,IL mixture,7.0
[N1111]Cl,[NH4]Cl,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.5,518.9,Yes,IL mixture,7.0
[N1111]Cl,[NH4]Cl,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.6,540.6,Yes,IL mixture,7.0
[N1111]Cl,[NH4]Cl,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.7,552.2,Yes,IL mixture,7.0
[N1111]Cl,[NH4]Cl,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.8,565.6,Yes,IL mixture,7.0
[N1111]Cl,[NH4]Cl,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.9,593.8,Yes,IL mixture,7.0
[N2222]Cl,[N1111]Cl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)C.[Cl-],0.1,596.4,Yes,IL mixture,8.0
[N2222]Cl,[N1111]Cl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)C.[Cl-],0.2,563.1,Yes,IL mixture,8.0
[N2222]Cl,[N1111]Cl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)C.[Cl-],0.3,532.3,Yes,IL mixture,8.0
[N2222]Cl,[N1111]Cl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)C.[Cl-],0.4,507.7,Yes,IL mixture,8.0
[N2222]Cl,[N1111]Cl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)C.[Cl-],0.5,475.7,Yes,IL mixture,8.0
[N2222]Cl,[N1111]Cl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)C.[Cl-],0.6,447.7,Yes,IL mixture,8.0
[N2222]Cl,[N1111]Cl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)C.[Cl-],0.7,459.0,Yes,IL mixture,8.0
[N2222]Cl,[N1111]Cl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)C.[Cl-],0.8,490.9,Yes,IL mixture,8.0
[N2222]Cl,[N1111]Cl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)C.[Cl-],0.9,512.9,Yes,IL mixture,8.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,564.0,Yes,IL mixture,9.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.15,558.7,Yes,IL mixture,9.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.2,548.4,Yes,IL mixture,9.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.25,540.8,Yes,IL mixture,9.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.3,532.6,Yes,IL mixture,9.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.35,522.3,Yes,IL mixture,9.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,515.8,Yes,IL mixture,9.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.5,503.3,Yes,IL mixture,9.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.6,514.6,Yes,IL mixture,9.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.7,526.4,Yes,IL mixture,9.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.8,530.4,Yes,IL mixture,9.0
[N2222]Cl,ChCl,CC[N+](CC)(CC)CC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.9,534.5,Yes,IL mixture,9.0
