Component_1,Smiles_1,Component_2,Smiles_2,T_EP,X_1,mu_c05#1,log10_c05#1,FreeE_c05#1,H_int_c05#1,H_MF_c05#1,H_HB_c05#1,H_vdW_c05#1,mu_c05#2,log10_c05#2,FreeE_c05#2,H_int_c05#2,H_MF_c05#2,H_HB_c05#2,H_vdW_c05#2
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.7,0.09999999999999998,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.6,0.10199999999999998,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.8,0.20199999999999996,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.9,0.20299999999999996,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],425.5,0.30100000000000005,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],427.6,0.30200000000000005,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377.5,0.399,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377.0,0.4,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,0.499,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,0.503,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
