Component_1,Smiles_1,Component_2,Smiles_2,T_EP,mu_1,log10_1,FreeE_1,H_int_1,H_MF_1,H_HB_1,H_vdW_1,mu_2,log10_2,FreeE_2,H_int_2,H_MF_2,H_HB_2,H_vdW_2
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.7,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.6,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.8,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.9,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],425.5,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],427.6,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377.5,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377.0,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
