Component_1,Smiles_1,Component_2,Smiles_2,T_EP,profile_1_1,profile_1_2,profile_2_1,profile_2_2,profile_3_1,profile_3_2,profile_4_1,profile_4_2,profile_5_1,profile_5_2
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.7,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.6,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.8,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.9,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],425.5,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],427.6,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377.5,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377.0,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],303.5,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],303.4,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],322.5,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],321.5,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],333.4,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],334.3,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],344.1,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],343.5,0.0,0.0,5.311658333333334,6.61445,8.2803,4.008741666666666,0.6786499999999999,1.989083333333333,3.5419583333333327,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],517.4,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],517.5,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],473.6,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],473.9,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],404.0,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],403.2,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],352.0,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],351.7,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],323.5,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],323.5,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],333.7,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],333.5,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],340.5,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],340.9,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],345.5,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],346.1,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],352.6,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],352.8,0.0007083333333333321,0.0,6.086441666666667,6.61445,6.0294,4.008741666666666,2.091883333333333,1.989083333333333,2.82095,2.9921666666666664
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],560.7,0.0,0.0,4.583175000000001,6.61445,12.114916666666666,4.008741666666666,0.5848416666666665,1.989083333333333,3.1620749999999993,2.9921666666666664
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],546.4,0.0,0.0,4.583175000000001,6.61445,12.114916666666666,4.008741666666666,0.5848416666666665,1.989083333333333,3.1620749999999993,2.9921666666666664
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],547.0,0.0,0.0,4.583175000000001,6.61445,12.114916666666666,4.008741666666666,0.5848416666666665,1.989083333333333,3.1620749999999993,2.9921666666666664
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],528.9,0.0,0.0,4.583175000000001,6.61445,12.114916666666666,4.008741666666666,0.5848416666666665,1.989083333333333,3.1620749999999993,2.9921666666666664
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],493.5,0.0,0.0,4.583175000000001,6.61445,12.114916666666666,4.008741666666666,0.5848416666666665,1.989083333333333,3.1620749999999993,2.9921666666666664
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],493.5,0.0,0.0,4.583175000000001,6.61445,12.114916666666666,4.008741666666666,0.5848416666666665,1.989083333333333,3.1620749999999993,2.9921666666666664
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],456.6,0.0,0.0,4.583175000000001,6.61445,12.114916666666666,4.008741666666666,0.5848416666666665,1.989083333333333,3.1620749999999993,2.9921666666666664
